pow: 14, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [82.88925666]
pow: 14, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [66.87305311]
pow: 14, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [89.35184513]
pow: 14, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [73.52325522]
pow: 14, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [47.44686942]
pow: 14, freq: 7, 1 freq. peaks: [4770000.], peaks prominence: [19725.55083717]
pow: 14, freq: 8, 1 freq. peaks: [4500000.], peaks prominence: [15972.34923541]
pow: 14, freq: 9, 1 freq. peaks: [4190000.], peaks prominence: [12770.41694137]
pow: 14, freq: 10, 1 freq. peaks: [3840000.], peaks prominence: [9719.3975646]
pow: 14, freq: 11, 1 freq. peaks: [3430000.], peaks prominence: [17491.28731975]
pow: 14, freq: 12, 1 freq. peaks: [2890000.], peaks prominence: [11865.81111384]
pow: 14, freq: 13, 1 freq. peaks: [3640000.], peaks prominence: [6285.3653655]
pow: 14, freq: 14, 1 freq. peaks: [4400000.], peaks prominence: [130.23207683]
pow: 14, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [78.62497432]
pow: 14, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [75.84877633]
pow: 14, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [39.77979545]
