pow: 11, freq: 8, 1 freq. peaks: [4840000.], peaks prominence: [2450.20067879]
pow: 11, freq: 9, 1 freq. peaks: [4520000.], peaks prominence: [2323.18173202]
pow: 11, freq: 10, 1 freq. peaks: [4160000.], peaks prominence: [1918.14248413]
pow: 11, freq: 11, 1 freq. peaks: [3730000.], peaks prominence: [1880.79256782]
pow: 11, freq: 12, 1 freq. peaks: [3190000.], peaks prominence: [1503.3758736]
pow: 11, freq: 13, 1 freq. peaks: [3480000.], peaks prominence: [536.15896471]
pow: 11, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [8.36326881]
pow: 11, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [7.18578733]
pow: 11, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [7.88653604]
pow: 11, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [6.26201317]
pow: 12, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [6.95465919]
pow: 12, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [6.37747017]
pow: 12, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [9.01610704]
pow: 12, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [8.44278775]
pow: 12, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [8.50903396]
pow: 12, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [8.25105234]
pow: 12, freq: 7, 1 freq. peaks: [4980000.], peaks prominence: [1855.00584719]
pow: 12, freq: 8, 1 freq. peaks: [4700000.], peaks prominence: [2380.83166827]
pow: 12, freq: 9, 1 freq. peaks: [4390000.], peaks prominence: [1948.01385998]
pow: 12, freq: 10, 1 freq. peaks: [8070000.], peaks prominence: [1512.64626882]
pow: 12, freq: 11, 1 freq. peaks: [3610000.], peaks prominence: [1997.48082078]
pow: 12, freq: 12, 1 freq. peaks: [3080000.], peaks prominence: [1692.27421504]
pow: 12, freq: 13, 1 freq. peaks: [3510000.], peaks prominence: [525.1262402]
pow: 12, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [9.10044494]
pow: 12, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [8.68963916]
pow: 12, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [7.26656804]
pow: 12, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [8.7600458]
pow: 13, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [7.69526612]
pow: 13, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [7.5363194]
pow: 13, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [8.3035651]
pow: 13, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [8.55721635]
pow: 13, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [8.31003442]
pow: 13, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [7.53007101]
pow: 13, freq: 7, 1 freq. peaks: [4870000.], peaks prominence: [2788.29419898]
pow: 13, freq: 8, 1 freq. peaks: [4600000.], peaks prominence: [2574.43518015]
pow: 13, freq: 9, 1 freq. peaks: [4290000.], peaks prominence: [2520.10084632]
pow: 13, freq: 10, 1 freq. peaks: [3940000.], peaks prominence: [1646.79205635]
pow: 13, freq: 11, 1 freq. peaks: [7030000.], peaks prominence: [1479.78640183]
pow: 13, freq: 12, 1 freq. peaks: [2980000.], peaks prominence: [1709.82623086]
pow: 13, freq: 13, 1 freq. peaks: [3580000.], peaks prominence: [604.86344405]
pow: 13, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [7.34034944]
pow: 13, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [8.26714939]
pow: 13, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [5.52373455]
pow: 13, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [9.04949849]
pow: 14, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [8.85399524]
pow: 14, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [8.97470354]
pow: 14, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [8.74852869]
pow: 14, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [7.34159154]
pow: 14, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [8.61328533]
pow: 14, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [7.07467644]
pow: 14, freq: 7, 1 freq. peaks: [4770000.], peaks prominence: [2719.89797026]
pow: 14, freq: 8, 1 freq. peaks: [4500000.], peaks prominence: [2366.91675476]
pow: 14, freq: 9, 1 freq. peaks: [4190000.], peaks prominence: [2572.69479249]
pow: 14, freq: 10, 1 freq. peaks: [3840000.], peaks prominence: [1644.49128544]
pow: 14, freq: 11, 1 freq. peaks: [3430000.], peaks prominence: [1972.93295377]
pow: 14, freq: 12, 1 freq. peaks: [2890000.], peaks prominence: [1700.58402335]
pow: 14, freq: 13, 1 freq. peaks: [3640000.], peaks prominence: [749.31919754]
pow: 14, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [8.31834429]
pow: 14, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [9.33909402]
pow: 14, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [8.80461167]
pow: 14, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [8.03596998]
